,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,HSS,22,female,0,09,M,2.1,,,,,
1,HSS,22,female,0,10,M,2.1,,,,,
2,HSS,22,female,0,10,F,3.1,,,,,
3,HSS,22,female,0,01,F,4.9,,,,,
4,HSS,22,female,0,05,F,5.0,,,,,
5,HSS,22,female,0,03,M,6.0,,,,,
6,HSS,22,female,0,06,F,4.0,,,,,
7,HSS,22,female,0,08,M,5.0,,,,,
8,HSS,22,female,0,07,F,5.9,,,,,
9,HSS,22,female,0,04,F,3.0,,,,,
10,HSS,22,female,0,05,M,5.0,,,,,
11,HSS,22,female,0,02,F,3.0,,,,,
12,HSS,22,female,0,01,M,5.0,,,,,
13,HSS,22,female,0,08,F,5.0,,,,,
14,HSS,22,female,0,02,M,5.1,,,,,
15,HSS,22,female,0,09,F,6.0,,,,,
16,HSS,22,female,0,07,M,4.9,,,,,
17,HSS,22,female,0,03,F,5.0,,,,,
18,HSS,22,female,0,06,M,4.9,,,,,
19,HSS,22,female,0,04,M,6.0,,,,,
20,HSS,22,female,1,02,F,5.0,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
21,HSS,22,female,1,09,M,3.1,Musicstimuli/Crossing.over,wav,0.087,01,Sad
22,HSS,22,female,1,04,F,5.7,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
23,HSS,22,female,1,05,F,4.1,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
24,HSS,22,female,1,08,F,6.1,Musicstimuli/Morning.talk,wav,0.826,07,Hap
25,HSS,22,female,1,10,F,2.2,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
26,HSS,22,female,1,04,M,5.9,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
27,HSS,22,female,1,06,F,3.1,Lyrics/L.O.C,jpg,-3.28,02,Sad
28,HSS,22,female,1,10,M,4.1,Musicstimuli/New.and.moments,wav,0.868,08,Hap
29,HSS,22,female,1,05,M,3.0,Musicstimuli/Emptiness,wav,0.076,03,Sad
30,HSS,22,female,1,03,M,6.0,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
31,HSS,22,female,1,08,M,2.1,Musicstimuli/Northern.star,wav,0.051,04,Sad
32,HSS,22,female,1,02,M,5.5,Lyrics/L.O.C,jpg,+2.65,07,Hap
33,HSS,22,female,1,01,M,4.1,Musicstimuli/Début,wav,0.062,02,Sad
34,HSS,22,female,1,07,M,1.1,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
35,HSS,22,female,1,01,F,7.9,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
36,HSS,22,female,1,07,F,5.1,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
37,HSS,22,female,1,03,F,3.4,Lyrics/L.O.C,jpg,-3.67,05,Sad
38,HSS,22,female,1,06,M,6.1,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
39,HSS,22,female,1,09,F,4.9,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
