,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,Hitler did nothing wrong,21,male,0,01,F,5.9,,,,,
1,Hitler did nothing wrong,21,male,0,05,F,5.0,,,,,
2,Hitler did nothing wrong,21,male,0,06,F,4.8,,,,,
3,Hitler did nothing wrong,21,male,0,02,F,5.0,,,,,
4,Hitler did nothing wrong,21,male,0,02,M,5.6,,,,,
5,Hitler did nothing wrong,21,male,0,10,F,5.0,,,,,
6,Hitler did nothing wrong,21,male,0,05,M,5.0,,,,,
7,Hitler did nothing wrong,21,male,0,04,M,5.0,,,,,
8,Hitler did nothing wrong,21,male,0,09,F,4.9,,,,,
9,Hitler did nothing wrong,21,male,0,03,M,5.4,,,,,
10,Hitler did nothing wrong,21,male,0,07,F,4.9,,,,,
11,Hitler did nothing wrong,21,male,0,06,M,4.9,,,,,
12,Hitler did nothing wrong,21,male,0,09,M,4.9,,,,,
13,Hitler did nothing wrong,21,male,0,04,F,4.7,,,,,
14,Hitler did nothing wrong,21,male,0,07,M,4.8,,,,,
15,Hitler did nothing wrong,21,male,0,08,F,4.9,,,,,
16,Hitler did nothing wrong,21,male,0,08,M,5.0,,,,,
17,Hitler did nothing wrong,21,male,0,01,M,4.4,,,,,
18,Hitler did nothing wrong,21,male,0,03,F,4.6,,,,,
19,Hitler did nothing wrong,21,male,0,10,M,4.6,,,,,
20,Hitler did nothing wrong,21,male,1,02,F,4.7,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
21,Hitler did nothing wrong,21,male,1,01,M,5.3,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
22,Hitler did nothing wrong,21,male,1,09,M,5.4,Musicstimuli/New.and.moments,wav,0.868,08,Hap
23,Hitler did nothing wrong,21,male,1,01,F,5.4,Musicstimuli/Northern.star,wav,0.051,04,Sad
24,Hitler did nothing wrong,21,male,1,05,F,4.9,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
25,Hitler did nothing wrong,21,male,1,04,F,4.7,Lyrics/L.O.C,jpg,+2.65,07,Hap
26,Hitler did nothing wrong,21,male,1,10,M,4.7,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
27,Hitler did nothing wrong,21,male,1,02,M,5.4,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
28,Hitler did nothing wrong,21,male,1,06,M,5.2,Musicstimuli/Début,wav,0.062,02,Sad
29,Hitler did nothing wrong,21,male,1,05,M,4.8,Lyrics/L.O.C,jpg,-3.28,02,Sad
30,Hitler did nothing wrong,21,male,1,09,F,5.0,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
31,Hitler did nothing wrong,21,male,1,07,F,5.4,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
32,Hitler did nothing wrong,21,male,1,07,M,5.2,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
33,Hitler did nothing wrong,21,male,1,04,M,4.9,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
34,Hitler did nothing wrong,21,male,1,03,F,5.4,Musicstimuli/Crossing.over,wav,0.087,01,Sad
35,Hitler did nothing wrong,21,male,1,10,F,5.0,Musicstimuli/Emptiness,wav,0.076,03,Sad
36,Hitler did nothing wrong,21,male,1,08,F,4.9,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
37,Hitler did nothing wrong,21,male,1,08,M,4.9,Musicstimuli/Morning.talk,wav,0.826,07,Hap
38,Hitler did nothing wrong,21,male,1,06,F,5.1,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
39,Hitler did nothing wrong,21,male,1,03,M,5.7,Lyrics/L.O.C,jpg,-3.67,05,Sad
