,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,JSN,22,female,0,05,M,3.0,,,,,
1,JSN,22,female,0,04,M,3.4,,,,,
2,JSN,22,female,0,09,M,3.1,,,,,
3,JSN,22,female,0,07,F,4.1,,,,,
4,JSN,22,female,0,03,M,5.0,,,,,
5,JSN,22,female,0,02,F,4.1,,,,,
6,JSN,22,female,0,07,M,4.0,,,,,
7,JSN,22,female,0,06,F,4.1,,,,,
8,JSN,22,female,0,01,M,4.0,,,,,
9,JSN,22,female,0,04,F,3.1,,,,,
10,JSN,22,female,0,08,M,3.2,,,,,
11,JSN,22,female,0,09,F,2.2,,,,,
12,JSN,22,female,0,10,F,3.9,,,,,
13,JSN,22,female,0,02,M,4.1,,,,,
14,JSN,22,female,0,05,F,4.9,,,,,
15,JSN,22,female,0,03,F,5.0,,,,,
16,JSN,22,female,0,10,M,5.0,,,,,
17,JSN,22,female,0,01,F,5.1,,,,,
18,JSN,22,female,0,08,F,5.1,,,,,
19,JSN,22,female,0,06,M,5.0,,,,,
20,JSN,22,female,1,08,F,4.0,Lyrics/L.O.C,jpg,-3.67,05,Sad
21,JSN,22,female,1,01,F,6.0,Musicstimuli/New.and.moments,wav,0.868,08,Hap
22,JSN,22,female,1,09,M,6.0,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
23,JSN,22,female,1,06,F,4.0,Musicstimuli/Début,wav,0.062,02,Sad
24,JSN,22,female,1,08,M,4.9,Musicstimuli/Morning.talk,wav,0.826,07,Hap
25,JSN,22,female,1,10,M,4.1,Lyrics/L.O.C,jpg,-3.28,02,Sad
26,JSN,22,female,1,10,F,5.6,Musicstimuli/Crossing.over,wav,0.087,01,Sad
27,JSN,22,female,1,05,M,3.4,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
28,JSN,22,female,1,06,M,6.1,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
29,JSN,22,female,1,01,M,4.3,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
30,JSN,22,female,1,02,F,4.1,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
31,JSN,22,female,1,04,M,5.0,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
32,JSN,22,female,1,07,F,6.5,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
33,JSN,22,female,1,02,M,5.0,Musicstimuli/Emptiness,wav,0.076,03,Sad
34,JSN,22,female,1,09,F,3.7,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
35,JSN,22,female,1,07,M,5.1,Musicstimuli/Northern.star,wav,0.051,04,Sad
36,JSN,22,female,1,04,F,3.4,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
37,JSN,22,female,1,03,F,5.5,Lyrics/L.O.C,jpg,+2.65,07,Hap
38,JSN,22,female,1,03,M,6.0,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
39,JSN,22,female,1,05,F,4.2,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
