,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,KKF,21,female,0,01,F,5.0,,,,,
1,KKF,21,female,0,09,F,3.0,,,,,
2,KKF,21,female,0,07,F,6.3,,,,,
3,KKF,21,female,0,09,M,5.0,,,,,
4,KKF,21,female,0,05,M,4.0,,,,,
5,KKF,21,female,0,08,F,4.7,,,,,
6,KKF,21,female,0,08,M,4.9,,,,,
7,KKF,21,female,0,05,F,4.1,,,,,
8,KKF,21,female,0,06,M,6.1,,,,,
9,KKF,21,female,0,10,M,5.0,,,,,
10,KKF,21,female,0,04,F,4.1,,,,,
11,KKF,21,female,0,02,F,5.2,,,,,
12,KKF,21,female,0,06,F,4.2,,,,,
13,KKF,21,female,0,03,M,7.0,,,,,
14,KKF,21,female,0,10,F,4.9,,,,,
15,KKF,21,female,0,07,M,4.0,,,,,
16,KKF,21,female,0,04,M,5.9,,,,,
17,KKF,21,female,0,02,M,5.9,,,,,
18,KKF,21,female,0,01,M,5.0,,,,,
19,KKF,21,female,0,03,F,5.0,,,,,
20,KKF,21,female,1,05,F,5.0,Lyrics/L.O.C,jpg,-3.67,05,Sad
21,KKF,21,female,1,06,M,5.0,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
22,KKF,21,female,1,09,M,4.1,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
23,KKF,21,female,1,02,F,5.1,Musicstimuli/Début,wav,0.062,02,Sad
24,KKF,21,female,1,02,M,6.2,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
25,KKF,21,female,1,04,F,4.1,Musicstimuli/Morning.talk,wav,0.826,07,Hap
26,KKF,21,female,1,09,F,4.9,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
27,KKF,21,female,1,05,M,5.0,Musicstimuli/Crossing.over,wav,0.087,01,Sad
28,KKF,21,female,1,10,F,5.0,Lyrics/L.O.C,jpg,+2.65,07,Hap
29,KKF,21,female,1,07,F,6.0,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
30,KKF,21,female,1,07,M,5.0,Musicstimuli/New.and.moments,wav,0.868,08,Hap
31,KKF,21,female,1,04,M,6.0,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
32,KKF,21,female,1,03,M,6.8,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
33,KKF,21,female,1,08,M,5.0,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
34,KKF,21,female,1,01,F,5.0,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
35,KKF,21,female,1,10,M,3.0,Musicstimuli/Emptiness,wav,0.076,03,Sad
36,KKF,21,female,1,06,F,3.0,Musicstimuli/Northern.star,wav,0.051,04,Sad
37,KKF,21,female,1,08,F,5.0,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
38,KKF,21,female,1,03,F,6.1,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
39,KKF,21,female,1,01,M,4.1,Lyrics/L.O.C,jpg,-3.28,02,Sad
