,Name,Age,Gender,Condition,Picture_no,Picture_gender,Rating,Artist,Stimulus,Valence,Stimulus_no,Mood
0,sig,22,female,0,09,F,2.0,,,,,
1,sig,22,female,0,06,F,2.9,,,,,
2,sig,22,female,0,03,M,6.0,,,,,
3,sig,22,female,0,01,M,4.0,,,,,
4,sig,22,female,0,05,M,0.0,,,,,
5,sig,22,female,0,01,F,7.1,,,,,
6,sig,22,female,0,08,M,4.8,,,,,
7,sig,22,female,0,10,F,4.2,,,,,
8,sig,22,female,0,09,M,5.4,,,,,
9,sig,22,female,0,06,M,2.7,,,,,
10,sig,22,female,0,02,M,6.7,,,,,
11,sig,22,female,0,03,F,3.7,,,,,
12,sig,22,female,0,07,M,1.9,,,,,
13,sig,22,female,0,04,F,0.1,,,,,
14,sig,22,female,0,08,F,0.1,,,,,
15,sig,22,female,0,02,F,1.9,,,,,
16,sig,22,female,0,07,F,8.2,,,,,
17,sig,22,female,0,05,F,4.1,,,,,
18,sig,22,female,0,04,M,6.0,,,,,
19,sig,22,female,0,10,M,2.8,,,,,
20,sig,22,female,1,01,F,6.9,Musicstimuli/Début,wav,0.062,02,Sad
21,sig,22,female,1,04,M,6.8,Lyrics/Malk-de-Koijn,jpg,+1.79,09,Hap
22,sig,22,female,1,03,F,4.3,Lyrics/L.O.C,jpg,+2.65,07,Hap
23,sig,22,female,1,07,M,1.9,Musicstimuli/Northern.star,wav,0.051,04,Sad
24,sig,22,female,1,08,F,0.1,Lyrics/Shu-Bi-Dua,jpg,-3.92,04,Sad
25,sig,22,female,1,05,F,2.7,Lyrics/Ukendt_kunstner,jpg,-1.18,03,Sad
26,sig,22,female,1,06,M,8.8,Lyrics/C.V.Joergensen,jpg,+2.50,10,Hap
27,sig,22,female,1,08,M,2.9,Lyrics/L.O.C,jpg,-3.28,02,Sad
28,sig,22,female,1,09,F,0.6,Musicstimuli/Emptiness,wav,0.076,03,Sad
29,sig,22,female,1,09,M,7.5,Lyrics/Ukendt_Kunstner,jpg,+2.65,06,Hap
30,sig,22,female,1,05,M,3.0,Musicstimuli/Darling.I.can.get.it,wav,0.899,06,Hap
31,sig,22,female,1,06,F,3.0,Musicstimuli/Straight.outta.the.beach,wav,0.775,10,Hap
32,sig,22,female,1,04,F,3.1,Musicstimuli/Crossing.over,wav,0.087,01,Sad
33,sig,22,female,1,10,M,4.4,Lyrics/Floedeklinikken,jpg,+2.01,08,Hap
34,sig,22,female,1,10,F,2.0,Lyrics/Malk-de-Koijn,jpg,-2.92,01,Sad
35,sig,22,female,1,07,F,7.9,Musicstimuli/Morning.talk,wav,0.826,07,Hap
36,sig,22,female,1,02,M,3.7,Lyrics/L.O.C,jpg,-3.67,05,Sad
37,sig,22,female,1,01,M,5.7,Musicstimuli/New.and.moments,wav,0.868,08,Hap
38,sig,22,female,1,02,F,4.7,Musicstimuli/Shining.rainbow,wav,0.867,09,Hap
39,sig,22,female,1,03,M,2.2,Musicstimuli/Velvet.sky,wav,0.068,05,Sad
